expression; size; sliced on; sign slice; sign size; sign time (ns) ; parity slice; parity size; parity time ; concrete slice; concrete size; concrete time 
(let ((m (if #f (if #f (if #t 25 (begin -27 14)) (if #f -9 (/ -23 -26))) -17)) (lskj 28) (cigrov (- (* (if #f -4 21) -19) (- -21 1))) (cb (if (= 11 -1) -22 -28)) (vapu 10) (setwy 16)) (* -9 -7));46;-30;(let ((m (if #f (if #f (if #t 25 (begin 14)) (if #f -9 (/ -23 -26))) -17))) '());19;900;(let ((m (if #f (if #f (if #t 25 (begin 14)) (if #f -9 (/ -23 -26))) -17))) '());19;400;(let ((m (if #f (if #f (if #t 25 (begin 14)) (if #f -9 (/ -23 -26))) -17))) '());19;700
(let* ((ipbly (/ -14 (+ (begin -19 -4) (- (if #t -20 21) (* -8 10))))) (abdk (begin -5 3 -1)) (s (+ (+ 14 -10) 21)) (l -23) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8)) 20 (/ -23 0) ipbly));47;19;(let* ((ipbly (dummy 3)) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8))));14;200;(let* ((ipbly (dummy 0)) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8))));14;100;(let* ((ipbly (/ -14 (+ (begin -4) (- (if #t -20 21) (* -8 10))))) (hdfmmf -17)) (begin (set! ipbly (- (* -15 ipbly) 8))));28;200
(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (u (if (= 7 -4) (if (< 10 17) (begin -11 -28) (- 11 -18)) (begin -1 15 1))) (mah -25) (wnjng 18) (o (- -19 -6)) (aerk 9)) wnjng);57;26;(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (mah -25)) '());30;200;(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (mah -25)) '());30;100;(letrec* ((ya (if #f (let* ((wedxe 7)) (+ (if #f wedxe (- wedxe 13)) (/ 26 (/ -5 17)))) (+ (if #f 28 -20) -20))) (mah -25)) '());30;300
(letrec* ((f (begin 2 -10 -28 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* ((j ji)) 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (set! msuhy (/ -11 -16)) (- (- ji 22) (* -17 23)) (* -27 25))))));114;4;(letrec* ((f (begin 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* () 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (* -27 25))))));95;200;(letrec* ((f (begin 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* () 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (* -27 25))))));95;200;(letrec* ((f (begin 5)) (iphtv (- 13 (if (= -18 -7) -16 -3))) (msuhy (let* () -18)) (uv 26) (ji 6)) (* (let* () 18) (- (/ (if #t (/ (+ uv ji) -4) (if (< (* 10 (/ uv 6)) 20) ji ji)) (* (+ -15 (+ (/ 24 (- (- (/ uv -13) 4) (/ f (+ f -5)))) (+ -6 27))) iphtv)) (if (= 2 (- iphtv (+ f 27))) uv (begin (* -27 25))))));95;200
(letrec* ((s 6)) 2);3;12;(letrec* ((s 6)) '());3;200;(letrec* ((s 6)) '());3;1100;(letrec* ((s 6)) '());3;200
(let ((hc (begin (begin 16 -4) (if #t 18 -10) 18 -23)) (pmonpm 0) (dn 22) (dfd -4) (izfw 2)) 6);16;15;(let ((hc (begin -23))) '());4;200;(let ((hc (begin -23))) '());4;200;(let ((hc (begin -23))) '());4;300
(letrec* ((kdzua (/ (begin 21 -8) (if #t 2 -27))) (otxiu (if #f -4 16)) (jmg 14) (x -28)) 11);17;22;(letrec* ((jmg 14)) '());3;100;(letrec* ((jmg 14)) '());3;200;(letrec* ((jmg 14)) '());3;200
(let ((yecl (let* ((t 5)) (+ t (begin -3 30)))) (mvuyig 3) (vpu (* (if #t (if #f -12 4) (if #t 30 -8)) (if (< 18 -20) -18 7))) (lcb (begin 4 -3)) (nr -15) (mi 13)) 5);35;15;(let ((yecl (let* ((t 5)) (+ t (begin 30)))) (lcb (begin -3))) '());11;200;(let ((yecl (let* ((t 5)) (+ t (begin 30)))) (lcb (begin -3))) '());11;200;(let ((yecl (let* ((t 5)) (+ t (begin 30)))) (lcb (begin -3))) '());11;200
(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin 23 -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb)))))) (p -24) (dlgslu -27) (bxrgy -7) (yojk -13)) dlgslu);49;24;(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb))))))) '());44;300;(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb))))))) '());44;200;(let* ((sq (* 26 (/ (if #f (/ (+ -24 22) -15) (begin -24)) (* 8 -23)))) (qp (let ((zygdzf (* -11 -24)) (yb 9)) (+ yb (if #f (/ zygdzf 26) (+ yb (* 13 yb))))))) '());44;200
(let ((xwbqv (+ (+ -14 10) -24)) (hdk -13) (phmfjo 0)) (begin (set! xwbqv 2) phmfjo));14;-11;(let ((hdk -13)) '());3;300;(let ((hdk -13)) '());3;200;(let ((hdk -13)) '());3;200
