expression; size; sliced on; concrete slice; concrete size; concrete time (ns) ; sign slice; sign size;sign time ; parity slice; parity size; parity time 
(let* ((oktmha 1) (tfp (if #t (begin -7 19 -21) (if (< 25 30) 27 (if #t -6 -11)))) (obs -21) (iryz 21) (a 8) (hwwgb 11)) (begin -25 (set! oktmha (let ((yo 8)) (/ (* (* (+ iryz a) a) 10) 15))) (set! a 16) -1 (set! iryz iryz) tfp));46;-11;(let* ((oktmha 1) (iryz 21) (a 8)) (begin (set! oktmha (let () (/ (* (* (+ iryz a) a) 10) 15))) (set! iryz iryz)));22;400;(let* ((oktmha 1) (iryz 21) (a 8)) (begin (set! oktmha (let () (/ (* (* (+ iryz a) a) 10) 15))) (set! iryz iryz)));22;600;(let* ((oktmha 1) (iryz 21) (a 8)) (begin (set! oktmha (let () (/ (* (* (+ iryz a) a) 10) 15))) (set! iryz iryz)));22;700
(let* ((jfixo -9) (tvbfo -8) (mzuht -13) (jdmbg 10) (tsy -4)) 30);7;19;(let* ((tsy -4)) '());3;200;(let* ((tsy -4)) '());3;200;(let* ((tsy -4)) '());3;800
(let ((jey 5) (lmlqc -16) (kzin (/ (begin -20 -9) -3)) (riuu -6) (fdofme -13) (prohog 19)) (begin riuu (set! lmlqc riuu) kzin kzin 10));19;-12;(let ((jey 5)) '());3;200;(let ((jey 5)) '());3;400;(let ((jey 5)) '());3;200
(let* ((htkk (* 27 (if #t (letrec* ((im -12)) (- im (+ -10 (* 17 (+ (* (* 3 -9) im) im))))) (* 15 (+ 14 27))))) (kp 10) (chjka -4) (kmiaq (- (if #t 12 25) (- -16 3))) (of (- 13 -21)) (qho -24)) kmiaq);52;-26;(let* ((htkk (* 27 (if #t (letrec* ((im -12)) (- im (+ -10 (* 17 (+ (* (* 3 -9) im) im))))) (* 15 (+ 14 27))))) (of (- 13 -21))) '());39;200;(let* ((htkk (* 27 (if #t (letrec* ((im -12)) (- im (+ -10 (* 17 (+ (* (* 3 -9) im) im))))) (* 15 (+ 14 27))))) (of (- 13 -21))) '());39;200;(let* ((htkk (* 27 (if #t (letrec* ((im -12)) (- im (+ -10 (* 17 (+ (* (* 3 -9) im) im))))) (* 15 (+ 14 27))))) (of (- 13 -21))) '());39;200
(letrec* ((pak 8) (enrwpv -30) (pks (begin (/ -26 -28) -16 -26)) (s 17) (hlbd -20) (m -29)) enrwpv);14;25;(letrec* ((enrwpv -30)) '());3;200;(letrec* ((enrwpv -30)) '());3;200;(letrec* ((enrwpv -30)) '());3;200
(letrec* ((ngqkto (begin 7 -17)) (o (begin (+ 9 -9) 28 -22)) (qzrrp -10) (mi (let* () -8)) (dxvo -18) (pdul -19)) qzrrp);17;25;(letrec* ((o (begin -22)) (mi (let* () -8))) '());6;100;(letrec* ((o (begin -22)) (mi (let* () -8))) '());6;300;(letrec* ((o (begin -22)) (mi (let* () -8))) '());6;100
(letrec* ((ot (let* ((z (- -4 -12)) (ksle -6)) (- ksle (+ ksle ksle)))) (nsp (begin 3 27 -26 12)) (ave (if #f -30 -23)) (wlqgjr 17) (k 15) (ant -20)) (begin (let* () (- 8 nsp)) (set! wlqgjr (/ 12 (- -9 -7))) (* 7 -18) 7));45;-5;(letrec* ((ot (let* ((ksle -6)) (- ksle (+ ksle ksle)))) (nsp (begin 12))) '());13;200;(letrec* ((ot (let* ((ksle -6)) (- ksle (+ ksle ksle)))) (nsp (begin 12))) '());13;600;(letrec* ((ot (let* ((ksle -6)) (- ksle (+ ksle ksle)))) (nsp (begin 12))) '());13;100
(let ((nwcmt (letrec* ((r -23)) (+ (begin (set! r 20) r) (/ 29 (/ 10 (/ r r)))))) (r (/ (if (< 15 -19) (/ (if #f 30 12) 17) (+ -12 25)) (- -1 9))) (om (if (= -22 -2) (- (/ -12 -18) -30) (begin 2 23))) (oy (/ (* 2 22) 19)) (vr 20) (yrram 24)) 5);66;4;(let ((nwcmt (letrec* ((r -23)) (+ (begin (set! r 20) r) (/ 29 (/ 10 (/ r r)))))) (vr 20)) '());21;200;(let ((nwcmt (letrec* ((r -23)) (+ (begin (set! r 20) r) (/ 29 (/ 10 (/ r r)))))) (vr 20)) '());21;100;(let ((nwcmt (letrec* ((r -23)) (+ (begin (set! r 20) r) (/ 29 (/ 10 (/ r r)))))) (vr 20)) '());21;100
(letrec* ((xs (let* ((vjippv -7)) (/ (* (- vjippv -11) (* vjippv vjippv)) vjippv))) (ukph 6) (knmthx 20) (whdigy 27)) (if #f (begin (set! whdigy -15) xs 4 (/ whdigy xs)) (if #t (/ whdigy whdigy) 11)));37;-8;(letrec* ((xs (let* ((vjippv -7)) (/ (* (- vjippv -11) (* vjippv vjippv)) vjippv)))) '());17;400;(letrec* ((xs (let* ((vjippv -7)) (/ (* (- vjippv -11) (* vjippv vjippv)) vjippv)))) '());17;200;(letrec* ((xs (let* ((vjippv -7)) (/ (* (- vjippv -11) (* vjippv vjippv)) vjippv)))) '());17;200
(letrec* ((f -4) (w -19) (ba 30) (tossse 28) (bc (if #f -24 29)) (rwgvo 3)) (- (if #f (* 24 30) (+ (if (= -24 0) (if #f (* (* -3 -6) bc) (/ -28 tossse)) (let* () ba)) (- f (begin tossse (- bc rwgvo))))) (- (+ 21 w) -25)));56;18;(letrec* ((f -4) (w -19) (ba 30) (tossse 28) (bc (dummy 1)) (rwgvo 3)) (- (if #f (* 24 30) (+ (if (= -24 0) (if #f (* (* -3 -6) bc) (/ -28 tossse)) (let* () ba)) (- f (begin (- bc rwgvo))))) (- (+ 21 w) -25)));54;200;(letrec* ((f -4) (w -19) (ba 30) (tossse 28) (bc (dummy 2)) (rwgvo 3)) (- (if #f (* 24 30) (+ (if (= -24 0) (if #f (* (* -3 -6) bc) (/ -28 tossse)) (let* () ba)) (- f (begin (- bc rwgvo))))) (- (+ 21 w) -25)));54;300;(letrec* ((f -4) (w -19) (ba 30) (tossse 28) (bc (dummy 1)) (rwgvo 3)) (- (if #f (* 24 30) (+ (if (= -24 0) (if #f (* (* -3 -6) bc) (/ -28 tossse)) (let* () ba)) (- f (begin (- bc rwgvo))))) (- (+ 21 w) -25)));54;200
(let ((usoklp 2) (xmdnw (* -13 19)) (lwzzo -1)) (begin (set! usoklp (/ -17 (* usoklp usoklp))) (if #t (begin xmdnw 5) (- -10 4)) -9 (set! usoklp usoklp) -21 -6));30;16;(let ((usoklp 2) (xmdnw (* -13 19))) (begin (set! usoklp (/ -17 (* usoklp usoklp))) (set! usoklp usoklp)));17;300;(let ((usoklp 2) (xmdnw (* -13 19))) (begin (set! usoklp (/ -17 (* usoklp usoklp))) (set! usoklp usoklp)));17;200;(let ((usoklp 2) (xmdnw (* -13 19))) (begin (set! usoklp (/ -17 (* usoklp usoklp)))));15;200
(let ((n -19) (s -5) (ms (begin -3 -22)) (tlw 6) (tee -16)) n);9;18;(let ((tlw 6)) '());3;100;(let ((tlw 6)) '());3;100;(let ((tlw 6)) '());3;200
(let* ((cdbll (begin -19 -25 -28)) (wbfc (begin -23 11 -16)) (r (if #t (/ -17 23) 20)) (b -30) (jbts -10)) (begin (- -16 (- 26 b)) (set! cdbll 28) (/ cdbll (+ (/ jbts b) -12))));38;-8;(let* ((r (if #t (/ -17 23) 20))) '());9;400;(let* ((r (if #t (/ -17 23) 20))) '());9;300;(let* ((r (if #t (/ -17 23) 20))) '());9;200
(let* ((w 30) (uciehj (begin 14 -15)) (ads (+ 26 7)) (opz 19)) (+ (if (< w (- (+ w -11) (+ (+ ads -16) opz))) (if #t (- 17 w) 17) (- 18 (- (- w ads) (+ (+ (- ads w) 11) uciehj)))) (/ (if (= (* -18 26) (+ -15 -1)) (if (= 26 -18) (+ -16 ads) (/ -27 w)) (- (* 11 ads) (- ads (* ads 28)))) -10)));95;1;(let* ((w 30) (uciehj (begin -15)) (ads (+ 26 7)) (opz 19)) '());10;300;(let* ((w 30) (uciehj (begin -15)) (ads (+ 26 7)) (opz 19)) '());10;400;(let* ((w 30) (uciehj (begin -15)) (ads (+ 26 7)) (opz 19)) '());10;200
(let ((jsd (if #f (let* () -29) (- (if #f 26 -24) 17))) (ssqz (begin -16 15)) (tz 3) (llkjy -2)) (begin (* (/ -9 tz) (- (* (- tz 5) 29) (+ jsd (+ tz -23)))) (if (= -25 11) -23 (if #f -2 (/ 11 (+ 13 4)))) (set! ssqz -6) (set! ssqz 15) 22));61;-7;(let ((jsd (if #f (let* () -29) (- (if #f 26 -24) 17))) (ssqz (dummy 1))) (begin (set! ssqz -6) (set! ssqz 15)));20;300;(let ((jsd (if #f (let* () -29) (- (if #f 26 -24) 17))) (ssqz (dummy 2))) (begin (set! ssqz -6) (set! ssqz 15)));20;300;(let ((jsd (if #f (let* () -29) (- (if #f 26 -24) 17))) (ssqz (dummy 1))) (begin (set! ssqz -6) (set! ssqz 15)));20;200
(letrec* ((asggjj (letrec* ((klv (if #f 1 -27)) (pdmom -25)) -16)) (y (/ 12 -17)) (zicis -30) (f (if (< 16 25) (+ 9 -24) (* 25 -17))) (t -12) (ejvntv -27)) (begin (+ (* (- y 6) 14) ejvntv) (if #f (* (+ t f) f) (* (+ ejvntv y) -20)) (if #t asggjj 23) (set! ejvntv -23) -3));62;28;(letrec* ((asggjj (letrec* () -16)) (t -12)) '());5;200;(letrec* ((asggjj (letrec* () -16)) (t -12)) '());5;200;(letrec* ((asggjj (letrec* () -16)) (t -12)) '());5;300
(letrec* ((cnnrp (let* ((m -23) (fikusx -19)) m)) (sr (begin -30 -1 19)) (dd 21) (l 12) (evroz -20)) (begin (* -27 l) (set! dd -3) (- -6 30) (set! dd (/ -25 cnnrp)) 28));29;-20;(letrec* ((cnnrp (let* ((m -23)) m))) '());5;100;(letrec* ((cnnrp (let* ((m -23)) m))) '());5;500;(letrec* ((cnnrp (let* ((m -23)) m))) '());5;200
(let* ((gsrcyu (begin (let* () 23) 14 -18 -26)) (hbl 21) (yz -26) (enoi 27) (hm (* -11 11)) (iqgm 14)) -15);16;26;(let* ((gsrcyu (begin -26)) (yz -26)) '());5;200;(let* ((gsrcyu (begin -26)) (yz -26)) '());5;700;(let* ((gsrcyu (begin -26)) (yz -26)) '());5;200
(let* ((icmoo (/ -23 -12)) (k -2)) (if #t k (begin (set! k (begin 5 (+ -16 15))) (set! icmoo (+ 10 (/ 23 14))) k -30)));27;-29;(let* ((k -2)) (if #t '() (begin (set! k (begin (+ -16 15))))));12;400;(let* ((k -2)) (if #t '() (begin (set! k (begin (+ -16 15))))));12;200;(let* ((k -2)) (if #t '() (begin (set! k (begin (+ -16 15))))));12;200
(let ((rk -22) (fltdwn (* (if #f (if #f -6 23) (if #t (if #f 18 -9) (if #f -3 5))) 12)) (anbvo (begin 2 -12 -21)) (cl 13) (flpeuu 8) (qqrl -29)) (if #t (- fltdwn 17) (begin (* 3 -28) (* (+ -29 (/ (- 25 anbvo) 16)) (* (* -24 -25) -27)) (- cl -30) (set! rk qqrl) -2)));65;-7;(let ((qqrl -29)) '());3;200;(let ((qqrl -29)) '());3;300;(let ((qqrl -29)) '());3;200
(let* ((qetlp -22) (xkvpd -1) (lchow (/ -19 (if #t (if #f 6 30) 2))) (wxaaot (if #f 10 16)) (dav (if #t 3 -20)) (hlcnor -10)) (if (= wxaaot -5) wxaaot qetlp));29;-20;(let* ((wxaaot (if #f 10 16)) (dav (if #t 3 -20))) '());10;100;(let* ((wxaaot (if #f 10 16)) (dav (if #t 3 -20))) '());10;300;(let* ((wxaaot (if #f 10 16)) (dav (if #t 3 -20))) '());10;300
(let* ((mvjweb (/ 23 -6)) (mvnick (if (< -12 -17) (begin 20 6) 28)) (epb -30) (npndf -26) (jdffr 15) (jexrzb -20)) -17);19;5;(let* ((jexrzb -20)) '());3;200;(let* ((jexrzb -20)) '());3;400;(let* ((jexrzb -20)) '());3;200
(let* ((ukx 8) (a (* (begin 28 -25 30) (letrec* ((vw -19)) vw))) (ywr (begin -22 24)) (cxjj (begin -19 29)) (gpo (* 17 17)) (rku 17)) (if (< -26 rku) (if #t (+ gpo 21) (if #f (let* ((ubvk a)) -19) rku)) 1));40;1;(let* ((a (* (begin 30) (letrec* ((vw -19)) vw))) (rku 17)) '());10;200;(let* ((a (* (begin 30) (letrec* ((vw -19)) vw))) (rku 17)) '());10;200;(let* ((a (* (begin 30) (letrec* ((vw -19)) vw))) (rku 17)) '());10;100
(let ((zek 17) (ljedx (if (< 29 -20) -11 -16)) (tocc -2) (dosg -28)) 11);12;-27;(let ((ljedx (if (< 29 -20) -11 -16))) '());9;200;(let ((ljedx (if (< 29 -20) -11 -16))) '());9;300;(let ((ljedx (if (< 29 -20) -11 -16))) '());9;200
(let* ((cfthj 10) (m 19) (jkajy (if #f (begin 7 14) (- (* -2 23) (/ 14 -8)))) (avaixv (/ (if #t -23 -24) (- -12 -22))) (uj (if #t -5 22)) (h 27)) (* (- (let* ((yux jkajy)) (if #f (/ m avaixv) (if #f jkajy 25))) 0) (- (if (= m 27) (- (if #f 12 (if #f (* (/ h h) cfthj) 2)) -30) 1) h)));75;-26;(let* ((cfthj 10) (m 19) (jkajy (if #f (begin 14) (- (* -2 23) (/ 14 -8)))) (avaixv (dummy 0)) (h 27)) (* (- (let* () (if #f (/ m avaixv) (if #f jkajy 25))) 0) (- (if (= m 27) (- (if #f 12 (if #f (* (/ h h) cfthj) 2)) -30) 1) h)));62;200;(let* ((cfthj 10) (m 19) (jkajy (if #f (begin 14) (- (* -2 23) (/ 14 -8)))) (avaixv (dummy 3)) (h 27)) (* (- (let* () (if #f (/ m avaixv) (if #f jkajy 25))) 0) (- (if (= m 27) (- (if #f 12 (if #f (* (/ h h) cfthj) 2)) -30) 1) h)));62;200;(let* ((cfthj 10) (m 19) (jkajy (if #f (begin 14) (- (* -2 23) (/ 14 -8)))) (avaixv (dummy 0)) (h 27)) (* (- (let* () (if #f (/ m avaixv) (if #f jkajy 25))) 0) (- (if (= m 27) (- (if #f 12 (if #f (* (/ h h) cfthj) 2)) -30) 1) h)));62;300
(let* ((q -10) (mnqdhb (if #t 6 -1)) (nl 20) (lojrkt 4)) 8);9;15;(let* ((lojrkt 4)) '());3;200;(let* ((lojrkt 4)) '());3;400;(let* ((lojrkt 4)) '());3;200
