expression; %set!s; size; sliced on; sign slice; sign size; parity slice; parity size; concrete slice; concrete size;abstract analysis time;concrete analysis time
(let* ((yakcf 27) (vmr -21) (pbt 3) (nqrxfw 5) (xnlvgl -18) (eqbi -15)) (begin (set! pbt 14) (set! nqrxfw 25) (set! eqbi -27) 4));20;15;-18;(let* ((nqrxfw 5)) (begin (set! nqrxfw 25)));5;(let* ((nqrxfw 5)) (begin (set! nqrxfw 25)));5;(let* ((nqrxfw 5)) (begin (set! nqrxfw 25)));5;704628;839367
(let* ((k 9)) (begin (set! k 28) (set! k (letrec* ((cnqccu 24)) 0)) -15 (set! k (* 27 (+ k 14))) (set! k -16) -14));19;21;-10;(let* ((k 9)) (begin (set! k (letrec* ((cnqccu 24)) 0)) (set! k (* 27 (+ k 14)))));15;(let* ((k 9)) (begin (set! k (letrec* ((cnqccu 24)) 0)) (set! k (* 27 (+ k 14)))));15;(let* ((k 9)) (begin (set! k 28) (set! k (letrec* ((cnqccu 24)) 0)) (set! k (* 27 (+ k 14)))));17;1934806;2281311
(let* ((hpeuy 0) (xkx -1) (itgqjv -10) (xqd -15)) (/ (begin (set! xkx (begin (set! hpeuy -22) hpeuy)) (begin (set! itgqjv 28) itgqjv) (set! hpeuy (+ itgqjv 6)) (set! hpeuy -7) -28) hpeuy));19;26;-13;(let* ((hpeuy 0) (xkx -1) (itgqjv -10)) (/ (begin (set! xkx (begin (set! hpeuy -22) hpeuy)) (begin (set! itgqjv 28)) -28) hpeuy));17;(let* ((hpeuy 0) (itgqjv -10)) (/ (begin (begin (set! itgqjv 28)) -28) hpeuy));11;(let* ((hpeuy 0) (xkx -1) (itgqjv -10)) (/ (begin (set! xkx (begin (set! hpeuy -22) hpeuy)) (begin (set! itgqjv 28)) -28) hpeuy));17;1380109;2514095
(let ((po -23) (myruds -26) (wub -13)) (begin (set! myruds (begin (set! wub wub) wub)) (set! wub (begin -7 -22)) myruds (set! wub (/ -18 myruds)) -7));19;21;15;(let ((po -23) (wub -13)) '());4;(let ((po -23)) '());3;(let ((po -23) (myruds -26) (wub -13)) (begin (set! myruds (begin (set! wub wub) wub))));10;467562;1800427
(letrec* ((abcnz (- 13 -10)) (h -4) (kns -4)) (begin (begin (set! kns (if #t abcnz -16)) (set! h 17) -20) (begin (set! abcnz 29) 12) (set! kns -13) (set! kns kns) 14));19;26;30;(letrec* ((kns -4)) (begin (set! kns -13) (set! kns kns)));7;(letrec* ((kns -4)) (begin (set! kns -13) (set! kns kns)));7;(letrec* ((abcnz (- 13 -10)) (kns -4)) (begin (begin (set! kns (if #t abcnz -16))) (set! kns -13) (set! kns kns)));17;1015123;2193916
(let ((cpa 29) (c -12)) (begin (set! cpa (begin cpa -14 20)) (set! cpa (begin (set! cpa -25) (/ -19 -7))) (set! cpa 26) cpa c));19;21;4;(let ((c -12)) '());3;(let ((c -12)) '());3;(let ((c -12)) '());3;450901;551788
(letrec* ((kphphr (/ 0 7)) (qaqkvo -6) (ehplku -19)) (/ (begin (set! kphphr (begin (set! ehplku kphphr) kphphr)) (set! kphphr qaqkvo) (set! ehplku -24) 20) kphphr));19;21;29;(letrec* ((kphphr (dummy 0)) (qaqkvo -6)) (/ (begin (set! kphphr (begin kphphr)) (set! kphphr qaqkvo) 20) kphphr));15;(letrec* ((kphphr (dummy 0)) (qaqkvo -6)) (/ (begin (set! kphphr (begin kphphr)) (set! kphphr qaqkvo) 20) kphphr));15;(letrec* ((kphphr (/ 0 7)) (qaqkvo -6)) (/ (begin (set! kphphr (begin kphphr)) (set! kphphr qaqkvo) 20) kphphr));16;1847328;2227699
(letrec* ((g -12) (gj -11) (z -13) (ie 10) (gxdc 23) (enwrso -8)) (begin (set! gj 10) (set! z g) (set! enwrso (* -14 -10)) z (set! enwrso ie) -7));19;21;6;(letrec* ((ie 10)) '());3;(letrec* ((ie 10)) '());3;(letrec* ((g -12) (ie 10)) '());4;447284;751332
(let* ((scxva -30) (bugog (if #t 1 7)) (u -24) (srjwwv -29)) (begin (set! u (begin (set! scxva 18) (set! srjwwv bugog) -20)) 22 (set! bugog -10) 23 bugog));19;21;4;(let* ((bugog (dummy 2))) (begin (set! bugog -10)));7;(let* ((bugog (dummy 1))) (begin (set! bugog -10)));7;(let* ((bugog (if #t 1 7))) (begin (set! bugog -10)));8;735600;805275
(letrec* ((qtczcy 1) (upgen (begin 23 4)) (jmec 29) (rvofj -25) (vbxktr -19)) (begin (set! qtczcy rvofj) (set! rvofj (begin (set! rvofj -13) upgen)) (set! jmec 20) -26 19 16));19;21;6;(letrec* ((upgen (begin 4))) '());4;(letrec* ((upgen (begin 4))) '());4;(letrec* ((upgen (begin 4)) (rvofj -25)) '());5;461026;769686
(let ((saqu 27) (fynd -4) (dcl -21) (vdht 21) (gqepg 27)) (begin (set! dcl (if #t 23 (begin (set! dcl (if #t dcl saqu)) (set! fynd -2) vdht))) -28 (set! gqepg (* -19 26)) (set! vdht 14) (set! dcl -13) saqu));19;31;-2;(let ((saqu 27) (fynd -4) (dcl -21) (vdht 21)) (begin (set! dcl (if #t 23 (begin (set! dcl (if #t dcl saqu)) (set! fynd -2) vdht)))));19;(let ((fynd -4) (dcl -21) (vdht 21)) (begin (set! dcl (if #t 23 (begin (set! fynd -2) vdht)))));13;(let ((saqu 27) (fynd -4) (dcl -21) (vdht 21)) (begin (set! dcl (if #t 23 (begin (set! dcl (if #t dcl saqu)) (set! fynd -2) vdht)))));19;1257275;1704019
(letrec* ((dhugln (* 28 23)) (ranj 22)) (begin (set! ranj (begin (set! ranj ranj) -10 26)) (begin (set! dhugln 16) -20) 11 (set! dhugln dhugln) dhugln));19;21;29;(letrec* ((dhugln (dummy 2)) (ranj 22)) (begin (set! ranj (begin (set! ranj ranj) 26)) (set! dhugln dhugln)));13;(letrec* ((ranj 22)) (begin (set! ranj (begin (set! ranj ranj) 26))));8;(letrec* ((dhugln (* 28 23)) (ranj 22)) (begin (set! ranj (begin (set! ranj ranj) 26)) (begin (set! dhugln 16)) (set! dhugln dhugln)));17;1012348;2291595
