expression; size; sliced on; sliced expression; sliced size
(let* ((l (if #t (/ (/ 20 3) 18) -29)) (k 3) (enp -26) (e -22)) (begin (set! k (* 24 -12)) (set! l (- 2 k)) (set! enp 24) k));28.0;e;(let* ((k (dummy 1)) (e -22)) (begin (set! k (* 24 -12))));11.0
(let ((d (/ 9 -8)) (xw 10)) (begin (set! xw 8) (set! xw (- (+ d 22) 25)) -13 (- 24 -29)));22.0;d;(let ((d (/ 9 -8))) '());6.0
(let ((k 21) (l (begin 10 12)) (qwuocp (/ -23 -17)) (bycra 11)) (begin k (set! l 5) (set! k (- bycra (- bycra k))) (+ (+ (- 13 l) (+ l (+ (- (- k 5) 1) -10))) (+ -5 (/ qwuocp -8)))));50.0;qwuocp;(let ((k (dummy 1)) (qwuocp (/ -23 -17)) (bycra (dummy 1))) (begin (set! k (- bycra (- bycra k)))));20.0
(let* ((xhca -17) (zwzvo 3) (bi 25)) (begin (set! bi (+ xhca 14)) -6 (set! bi bi) (* (+ (- xhca -2) xhca) xhca)));23.0;bi;(let* ((bi (dummy 1))) (begin (set! bi bi)));7.0
(letrec* ((hkmqy (- -11 (* (/ -27 26) 9))) (xta -17) (qycc -18) (ls 8)) (if (< (- -5 hkmqy) (+ (+ (+ ls -17) (+ 10 (* (* -2 (/ -25 -30)) (+ 28 -2)))) 30)) -18 (begin (set! xta (if #t xta qycc)) (set! qycc -23) hkmqy)));56.0;ls;(letrec* ((hkmqy (- -11 (* (/ -27 26) 9))) (ls 8)) '());13.0
(let* ((qawtx (if #f 20 (let* () 3))) (hhl (if (< -16 18) 13 -27)) (lb (if #t 16 -13)) (x -15)) (begin (begin 9 -13) (set! hhl -23) (set! qawtx qawtx) 26));27.0;qawtx;(let* ((qawtx (if #f 20 (let* () 3)))) (begin (set! qawtx qawtx)));9.0
(let* ((uwebap -28) (lrtz (- -22 3)) (vuw (if #t 9 30)) (ijuwgs 18)) (if #f (begin (set! ijuwgs (/ 9 -29)) (/ vuw 3) (+ uwebap -12)) (/ (begin (set! uwebap lrtz) 21) (* (/ 8 (+ (* (* 16 (+ -3 -21)) vuw) 17)) (+ ijuwgs ijuwgs)))));55.0;uwebap;(let* ((uwebap -28) (lrtz (dummy 1)) (vuw (dummy 1)) (ijuwgs (dummy 2))) (if #f '() (/ (begin (set! uwebap lrtz) 21) (* (/ 8 (+ (* (* 16 (+ -3 -21)) vuw) 17)) (+ ijuwgs ijuwgs)))));42.0
(let* ((ufgyag (letrec* ((zpy 3)) (* zpy -18))) (x -18) (ehd (if #f 3 28)) (lmar -7)) (* (begin (set! ufgyag (/ 1 9)) (set! ufgyag (- ufgyag (/ 4 (+ lmar lmar)))) (/ x lmar)) ehd));37.0;x;(let* ((ufgyag (letrec* ((zpy 3)) (* zpy -18))) (x -18) (ehd (dummy 2)) (lmar (dummy 1))) (* (begin (set! ufgyag (/ 1 9)) (set! ufgyag (- ufgyag (/ 4 (+ lmar lmar)))) (/ x lmar)) ehd));38.0
(let* ((e (begin 14 30 2)) (hew (* 24 -6)) (vhs -7) (tlr -28)) (begin (begin 13 -3) (set! e -27) (set! tlr (+ -8 (/ (* 19 tlr) (* vhs -28)))) (* e vhs)));35.0;tlr;(let* ((vhs -7) (tlr -28)) (begin (set! tlr (+ -8 (/ (* 19 tlr) (* vhs -28))))));18.0
(let* ((vfpun -18)) (if (< (/ vfpun (+ vfpun (/ vfpun -23))) vfpun) (begin (set! vfpun -25) (set! vfpun (+ 13 vfpun)) vfpun) (* (+ (+ (/ (* 6 (* vfpun -21)) -30) vfpun) vfpun) (- 7 -11))));47.0;vfpun;(let* ((vfpun -18)) (if (< (/ vfpun (+ vfpun (/ vfpun -23))) vfpun) (begin (set! vfpun -25) (set! vfpun (+ 13 vfpun))) '()));25.0
