expression; size; sliced on; sliced expression; sliced size
(let* ((xfm -24) (v (begin 8 -11)) (gy (if #t -8 1)) (yde 15)) (if #t (begin (set! v 10) 1) (begin (set! xfm (if #t 23 -19)) (set! xfm (- (+ 21 -22) 26)) v)));31.0;gy;(let* ((gy (if #t -8 1))) '());6.0
(let* ((n -5) (mr -16) (lmxg 10) (htmx 28)) (/ (begin (set! mr (if #f -9 8)) (set! n n) 19) (begin htmx (* lmxg -25))));22.0;n;(let* ((n (dummy 1)) (lmxg (dummy 2))) (/ (begin (set! n n) 19) (begin (* lmxg -25))));18.0
(let* ((px 21)) (begin (set! px 22) (set! px px) -15));8.0;px;(let* ((px (dummy 1))) (begin (set! px 22) (set! px px)));9.0
(let* ((hnwft -24) (e (+ (/ 28 26) (+ -29 -15))) (pv -18) (qxypi -6)) (begin (set! pv hnwft) (set! qxypi 26) (/ (* (* 21 23) (+ -7 e)) (/ (+ qxypi -7) (+ e -24))) (- (/ (/ (/ -26 9) (* pv (/ e -2))) 13) -1)));60.0;e;(let* ((e (+ (/ 28 26) (+ -29 -15)))) '());12.0
(let* ((s -19) (jr (begin -15 -19)) (z (* -28 16)) (fe 28)) (+ (+ (* 19 jr) s) (begin (set! fe (- (+ (/ -28 z) (/ s (- s 3))) z)) (set! z (* 6 -29)) -4)));43.0;z;(let* ((s (dummy 1)) (jr (dummy 1)) (z (dummy 2))) (+ (+ (* 19 jr) s) (begin (set! z (* 6 -29)) -4)));26.0
(letrec* ((gt 10) (yqu 2) (tbt 7)) (+ (begin (set! tbt 8) (set! yqu (* 6 tbt)) 18) (- 30 gt)));19.0;yqu;(letrec* ((gt (dummy 2)) (yqu (dummy 2)) (tbt (dummy 1))) (+ (begin (set! tbt 8) (set! yqu (* 6 tbt)) 18) (- 30 gt)));25.0
(let* ((x (/ 22 (if #f (* -7 -9) (/ -26 23)))) (v (- -1 (if #f 13 -5))) (shan -2) (qbme -1)) (* (begin (set! v (if #f x (- (- 15 -8) x))) (set! shan 14) qbme) (+ (/ 13 19) (* -13 -3))));50.0;x;(let* ((x (/ 22 (if #f (* -7 -9) (/ -26 23))))) '());15.0
(letrec* ((ia (if #f -26 20)) (rdp -30)) (begin (set! rdp rdp) (set! rdp (if #f 6 ia)) (- 25 -7) ia));19.0;rdp;(letrec* ((ia (dummy 2)) (rdp (dummy 2))) (begin (set! rdp rdp) (set! rdp (if #f 6 ia))));15.0
(let* ((bgyxy (begin 7 -3)) (askbj -6) (cwfrkw -8) (ouui -19)) (begin (set! askbj (* (/ cwfrkw 14) (- -19 7))) (set! bgyxy 0) (set! cwfrkw (/ (- 4 18) -18)) (- askbj bgyxy)));33.0;askbj;(let* ((askbj (dummy 2)) (cwfrkw -8)) (begin (set! askbj (* (/ cwfrkw 14) (- -19 7)))));17.0
(letrec* ((qwp (begin 9 12)) (tp (+ 20 4)) (ksasq (- 12 21)) (eb -29)) (if (< (* (* 21 qwp) -19) eb) (begin (set! tp (- qwp -29)) (set! qwp ksasq) 7) (let ((x ksasq)) (- eb eb))));39.0;x;(letrec* ((qwp (begin 12)) (ksasq (dummy 1)) (eb -29)) (if (< (* (* 21 qwp) -19) eb) '() (let ((x ksasq)) '())));22.0
(let ((nzxm -1) (axtf -25) (md (if #f -9 -3)) (x 27)) (begin (set! axtf md) (set! x x) -20));14.0;x;(let ((x (dummy 1))) (begin (set! x x)));7.0
(let* ((clkmlw 5) (rpj (* 18 15)) (gwfedp (if #f -10 -12)) (itxuw -13)) (begin (set! rpj (+ -25 clkmlw)) itxuw (set! gwfedp clkmlw) -14));21.0;clkmlw;(let* ((clkmlw 5)) '());3.0
(let ((u (begin 28 -17 -27)) (xcxrg (/ (if #f -25 -17) 6)) (zvjtqk (+ -6 24)) (czuv 10)) (begin (set! u (+ zvjtqk -17)) (/ 25 -22) (set! u -22) (* (* -18 -12) -3)));36.0;u;(let ((u (dummy 1))) (begin (set! u -22)));7.0
