 size; sign size; sign time (ns) ; parity size; parity time ; concrete size; concrete time ;analysis time;concrete analysis time;abstract analysis time;sign diff;parity diff;concrete diff;concrete time diff;abstract time diff
46;19;900;19;400;19;700;4168678;706687;687777;0,413043478;0,413043478;0,413043478;0,169523048;0,164986838
47;14;200;14;100;28;200;6349598;3567962;2087889;0,29787234;0,29787234;0,595744681;0,561919353;0,328822234
57;30;200;30;100;30;300;5608201;1616510;1937026;0,526315789;0,526315789;0,526315789;0,288240382;0,345391686
114;95;200;95;200;95;200;16081311;14553506;14405566;0,833333333;0,833333333;0,833333333;0,904994997;0,895795498
3;3;200;3;1100;3;200;483496;476288;477627;1;1;1;0,985091914;0,987861327
16;4;200;4;200;4;300;1364955;508310;491891;0,25;0,25;0,25;0,372400555;0,360371587
17;3;100;3;200;3;200;1528526;478869;475515;0,176470588;0,176470588;0,176470588;0,313288096;0,311093825
35;11;200;11;200;11;200;3760483;1390405;1382667;0,314285714;0,314285714;0,314285714;0,369741068;0,367683353
49;44;300;44;200;44;200;5909806;4466671;4377900;0,897959184;0,897959184;0,897959184;0,755806705;0,740785738
14;3;300;3;200;3;200;2010938;474459;580321;0,214285714;0,214285714;0,214285714;0,235939149;0,288582244
51;3;500;3;100;4;200;7445584;644454;461458;0,058823529;0,058823529;0,078431373;0,086555198;0,061977408
40;9;200;9;300;9;400;2741578;761053;801880;0,225;0,225;0,225;0,277596698;0,292488487
82;8;200;8;300;8;300;12980145;718203;763394;0,097560976;0,097560976;0,097560976;0,055330892;0,05881244
60;5;200;5;200;5;100;9307977;752737;723091;0,083333333;0,083333333;0,083333333;0,080870097;0,077685087
15;9;200;9;200;9;300;1888904;1182203;1187511;0,6;0,6;0,6;0,62586717;0,628677265
113;8;200;8;200;8;200;18000288;906428;920960;0,07079646;0,07079646;0,07079646;0,050356305;0,051163626
44;33;100;33;600;34;200;7168295;4895195;4498613;0,75;0,75;0,772727273;0,682895305;0,627570852
45;35;200;35;300;37;200;6283683;5129616;4649253;0,777777778;0,777777778;0,822222222;0,81633908;0,73989299
48;11;300;11;400;11;200;5808200;965788;986381;0,229166667;0,229166667;0,229166667;0,166280087;0,169825591
34;26;600;26;200;26;100;4495784;3931586;3611253;0,764705882;0,764705882;0,764705882;0,874505092;0,803253226
11;9;100;9;200;9;100;1197939;629450;579713;0,818181818;0,818181818;0,818181818;0,525444117;0,483925308
21;9;600;9;200;9;1000;2535028;839722;811363;0,428571429;0,428571429;0,428571429;0,331247623;0,320060765
42;3;400;3;200;3;200;4928621;542995;482647;0,071428571;0,071428571;0,071428571;0,11017179;0,097927392
46;17;1000;17;300;17;200;4933061;1662332;1320251;0,369565217;0,369565217;0,369565217;0,336977791;0,26763322
41;3;200;3;200;3;400;5351512;517125;493375;0,073170732;0,073170732;0,073170732;0,096631569;0,092193571
78;27;100;27;400;33;100;6554886;2537084;1214751;0,346153846;0,346153846;0,423076923;0,387052345;0,185319928
11;3;100;3;300;3;300;1489922;699043;471862;0,272727273;0,272727273;0,272727273;0,469180937;0,316702485
11;3;500;3;200;3;400;1809917;606150;497565;0,272727273;0,272727273;0,272727273;0,33490486;0,274910396
16;6;200;6;500;6;200;1620124;841317;709624;0,375;0,375;0,375;0,519291733;0,43800598
21;4;200;4;100;4;400;2685834;594877;664893;0,19047619;0,19047619;0,19047619;0,221486883;0,247555508
38;5;500;5;100;5;200;2452167;784433;845050;0,131578947;0,131578947;0,131578947;0,319893792;0,34461356
48;4;200;4;300;7;200;7829461;1158196;557573;0,083333333;0,083333333;0,145833333;0,147927935;0,071214736
80;47;100;47;500;51;200;11629546;8109321;7272696;0,5875;0,5875;0,6375;0,697303317;0,625363707
26;23;600;23;500;23;100;3729332;1885275;1823103;0,884615385;0,884615385;0,884615385;0,505526191;0,488855109
66;3;100;3;400;3;200;8148670;524867;708462;0,045454545;0,045454545;0,045454545;0,06441137;0,086942041
14;3;300;3;100;3;200;1793191;517757;477360;0,214285714;0,214285714;0,214285714;0,288734998;0,266207002
27;16;100;16;200;16;200;3132926;2440385;2322474;0,592592593;0,592592593;0,592592593;0,77894754;0,741311477
21;6;200;6;100;6;100;2380249;711843;645960;0,285714286;0,285714286;0,285714286;0,299062409;0,271383372
10;3;100;3;200;3;200;1071124;514282;474168;0,3;0,3;0,3;0,480133019;0,44268264
60;10;100;10;100;10;400;9702391;1105118;1013373;0,166666667;0,166666667;0,166666667;0,113901615;0,104445698
3;3;600;3;100;3;300;483094;523047;491172;1;1;1;1,082702331;1,016721383
31;6;100;6;200;6;300;3630953;593703;548509;0,193548387;0,193548387;0,193548387;0,163511618;0,151064748
81;4;200;4;100;8;200;11673408;1252560;649865;0,049382716;0,049382716;0,098765432;0,107300285;0,055670546
14;3;200;3;200;3;300;1504917;534489;486976;0,214285714;0,214285714;0,214285714;0,35516178;0,323589939
45;27;100;27;200;27;200;6621704;3605894;3216088;0,6;0,6;0,6;0,544556809;0,48568888
71;3;200;3;100;3;300;7451876;513731;490621;0,042253521;0,042253521;0,042253521;0,068939821;0,065838589
62;58;200;58;400;58;100;10408229;10083033;9938278;0,935483871;0,935483871;0,935483871;0,968755876;0,95484813
48;25;200;25;100;25;200;3947849;1971091;2400009;0,520833333;0,520833333;0,520833333;0,499282267;0,607928267
17;3;200;3;200;3;500;1622981;484354;488543;0,176470588;0,176470588;0,176470588;0,298434794;0,301015847
54;20;300;20;200;20;400;8791496;3317550;3235387;0,37037037;0,37037037;0,37037037;0,377358984;0,368013248
45;40;100;40;200;40;600;6662795;5548363;5761494;0,888888889;0,888888889;0,888888889;0,832738063;0,86472629
10;3;100;3;100;3;100;1417591;456081;497960;0,3;0,3;0,3;0,32172961;0,351271982
62;45;300;45;200;47;100;6348681;2313401;2139376;0,725806452;0,725806452;0,758064516;0,364390808;0,336979603
79;3;200;3;200;3;100;11447598;443071;487986;0,037974684;0,037974684;0,037974684;0,038704277;0,042627807
123;84;200;84;200;93;100;17628416;13923367;13381094;0,682926829;0,682926829;0,756097561;0,789825189;0,759063889
51;12;300;12;200;25;300;8247768;3232313;2102085;0,235294118;0,235294118;0,490196078;0,391901542;0,254867135
17;3;100;3;100;3;200;2024235;471560;508398;0,176470588;0,176470588;0,176470588;0,232957142;0,251155622
51;3;600;3;300;4;300;7082267;787887;512989;0,058823529;0,058823529;0,078431373;0,111247853;0,072432881
27;3;200;3;600;3;100;1951965;544250;539544;0,111111111;0,111111111;0,111111111;0,278821598;0,276410694
8;3;300;3;500;3;300;1075997;485381;530273;0,375;0,375;0,375;0,451098841;0,492820147
65;4;200;4;300;8;200;15214567;996189;645042;0,061538462;0,061538462;0,123076923;0,065476001;0,042396343
12;6;300;6;100;6;600;1920304;640724;672881;0,5;0,5;0,5;0,333657588;0,350403374
8;6;200;6;400;6;400;1382502;645653;669331;0,75;0,75;0,75;0,467017769;0,484144688
25;12;200;12;200;12;200;2151011;1033742;1054631;0,48;0,48;0,48;0,480584246;0,490295494
30;20;300;20;100;27;100;4383362;3744073;3163716;0,666666667;0,666666667;0,9;0,854155555;0,721755584
17;13;200;13;200;13;300;2648648;1937914;2046029;0,764705882;0,764705882;0,764705882;0,731661587;0,772480526
35;14;200;14;200;14;200;3551622;909405;1085465;0,4;0,4;0,4;0,256053431;0,305625148
53;18;200;18;100;18;200;8634594;2619772;2654043;0,339622642;0,339622642;0,339622642;0,30340419;0,307373224
27;5;200;5;500;5;200;2846640;688453;697908;0,185185185;0,185185185;0,185185185;0,241847582;0,245169041
20;3;200;3;100;3;200;2160048;469144;473090;0,15;0,15;0,15;0,21719147;0,219018281
73;8;400;8;200;34;300;8151388;2213692;1198722;0,109589041;0,109589041;0,465753425;0,2715724;0,147057409
20;12;100;12;200;12;300;3143046;1207451;1033102;0,6;0,6;0,6;0,38416587;0,328694521
67;44;200;44;200;44;100;11917963;6412421;6882151;0,656716418;0,656716418;0,656716418;0,538046728;0,577460343
48;8;200;8;200;10;200;6262322;943760;735934;0,166666667;0,166666667;0,208333333;0,150704483;0,117517751
25;23;300;23;200;23;100;4280804;4048568;4121979;0,92;0,92;0,92;0,945749443;0,962898325
24;16;300;16;200;16;200;3995443;2404162;2462597;0,666666667;0,666666667;0,666666667;0,601726016;0,616351428
24;19;400;19;200;19;200;1457251;1110590;1458317;0,791666667;0,791666667;0,791666667;0,762113047;1,000731514
52;6;200;6;400;6;100;7615012;666892;753939;0,115384615;0,115384615;0,115384615;0,087575962;0,099006935
33;3;700;3;300;3;500;2380692;462814;555006;0,090909091;0,090909091;0,090909091;0,19440314;0,233128015
10;3;100;3;100;3;200;1127313;478460;529466;0,3;0,3;0,3;0,42442516;0,469670801
8;3;300;3;400;3;200;1438512;466991;508717;0,375;0,375;0,375;0,324634761;0,353641124
21;14;200;14;200;14;400;3226221;1592737;1715804;0,666666667;0,666666667;0,666666667;0,493685027;0,531830894
7;6;500;6;100;6;200;1581384;657336;709596;0,857142857;0,857142857;0,857142857;0,415671336;0,448718338
29;12;200;12;100;12;200;3003727;838476;882511;0,413793103;0,413793103;0,413793103;0,279145209;0,293805329
33;3;200;3;300;3;200;2842072;615759;502761;0,090909091;0,090909091;0,090909091;0,21665848;0,176899459
45;17;300;15;200;17;300;8474535;2701463;3082708;0,377777778;0,333333333;0,377777778;0,318774186;0,363761316
45;4;200;4;200;4;500;5396655;457101;767099;0,088888889;0,088888889;0,088888889;0,084700801;0,14214342
62;42;200;42;300;42;600;9332166;6342282;6775801;0,677419355;0,677419355;0,677419355;0,679615215;0,726069489
17;3;200;3;200;3;200;2269999;491029;517221;0,176470588;0,176470588;0,176470588;0,21631243;0,227850761
16;3;200;3;200;3;200;2562875;470919;664036;0,1875;0,1875;0,1875;0,183746379;0,259098083
18;3;300;3;400;3;500;2385059;475103;572269;0,166666667;0,166666667;0,166666667;0,199199684;0,239939138
54;40;100;40;100;40;1100;11293974;7083356;7602717;0,740740741;0,740740741;0,740740741;0,627180123;0,673165796
8;3;400;3;300;3;200;1499363;486930;547262;0,375;0,375;0,375;0,324757914;0,364996335
50;17;200;17;400;17;300;4837852;1346354;1375810;0,34;0,34;0,34;0,278295822;0,284384475
21;3;300;3;100;3;400;3270592;583475;502317;0,142857143;0,142857143;0,142857143;0,178400424;0,153585956
21;3;300;3;100;3;200;3376689;538456;529622;0,142857143;0,142857143;0,142857143;0,159462716;0,156846544
18;15;200;15;300;15;700;3860241;2645672;2701859;0,833333333;0,833333333;0,833333333;0,685364463;0,699919772
19;6;200;6;200;6;700;2050202;627470;674071;0,315789474;0,315789474;0,315789474;0,306052769;0,328782725
122;82;300;82;300;82;100;19157939;11911339;12667065;0,672131148;0,672131148;0,672131148;0,621744281;0,661191426
62;25;300;25;100;42;400;11606727;3156418;1960482;0,403225806;0,403225806;0,677419355;0,271947294;0,168909116
10;3;300;3;100;3;100;1980922;516886;867518;0,3;0,3;0,3;0,260932031;0,437936476
42;18;100;18;400;18;300;4484757;1589685;1921698;0,428571429;0,428571429;0,428571429;0,354464021;0,428495457
16;9;100;9;600;10;400;2823333;1607797;1275266;0,5625;0,5625;0,625;0,569467718;0,451688129
25;5;500;5;500;5;100;3707272;691014;731745;0,2;0,2;0,2;0,1863942;0,197380985
22;9;200;9;200;9;300;3481082;700540;753189;0,409090909;0,409090909;0,409090909;0,201242028;0,216366348
30;6;300;6;200;6;500;2140788;624674;764749;0,2;0,2;0,2;0,291796292;0,357227806
8;3;200;3;200;3;100;1774139;471591;577650;0,375;0,375;0,375;0,265814009;0,325594556
25;3;400;3;200;3;200;2707058;483577;519807;0,12;0,12;0,12;0,178635626;0,192019159
8;3;300;3;100;3;200;1759395;497662;526395;0,375;0,375;0,375;0,282859733;0,299190915
10;4;300;4;100;4;400;1439077;520133;563785;0,4;0,4;0,4;0,361435142;0,391768474
36;24;400;24;200;24;200;5846689;3347013;3581957;0,666666667;0,666666667;0,666666667;0,572462979;0,61264709
17;3;200;3;300;3;200;3286099;491583;505950;0,176470588;0,176470588;0,176470588;0,149594702;0,153966755
38;21;200;21;300;21;300;6362645;3086239;3411869;0,552631579;0,552631579;0,552631579;0,485055979;0,536234381
28;20;200;20;400;20;200;3927172;2699300;2750691;0,714285714;0,714285714;0,714285714;0,687339388;0,700425395
20;3;100;3;100;3;200;2752430;463741;481241;0,15;0,15;0,15;0,168484212;0,17484223
22;10;200;10;600;10;300;4054260;796912;847186;0,454545455;0,454545455;0,454545455;0,196561641;0,208961931
21;3;100;3;500;3;300;3532575;474983;577295;0,142857143;0,142857143;0,142857143;0,134458009;0,163420451
52;6;100;6;200;6;200;12138450;862732;1150746;0,115384615;0,115384615;0,115384615;0,071074313;0,094801725
7;3;300;3;100;3;300;1806481;487260;571050;0,428571429;0,428571429;0,428571429;0,269728826;0,316111822
39;5;2500;5;100;5;200;5882844;916471;864022;0,128205128;0,128205128;0,128205128;0,155787065;0,146871479
33;5;200;5;700;5;200;4884356;687087;832145;0,151515152;0,151515152;0,151515152;0,14067095;0,170369441
66;51;400;51;100;51;200;12174879;7135396;7904210;0,772727273;0,772727273;0,772727273;0,586075311;0,649222879
38;14;500;20;100;18;500;2998954;1054566;1512917;0,368421053;0,526315789;0,473684211;0,351644607;0,504481563
50;30;200;30;200;30;200;9448824;4107332;4398545;0,6;0,6;0,6;0,434692402;0,465512428
58;24;200;24;400;25;100;12203704;3748867;3616806;0,413793103;0,413793103;0,431034483;0,307190915;0,296369528
13;3;300;3;400;3;100;1982656;472033;501725;0,230769231;0,230769231;0,230769231;0,23808114;0,25305701
67;5;200;5;100;5;300;8574031;851601;890497;0,074626866;0,074626866;0,074626866;0,099323294;0,103859783
4;3;200;3;100;3;100;917627;457198;504611;0,75;0,75;0,75;0,498239481;0,549908623
33;12;500;12;200;12;100;5221429;942294;989219;0,363636364;0,363636364;0,363636364;0,180466688;0,189453692
43;4;200;4;200;20;200;6439925;1602642;526350;0,093023256;0,093023256;0,465116279;0,248860352;0,081732318
11;3;300;3;200;3;100;1647921;468097;496965;0,272727273;0,272727273;0,272727273;0,284053058;0,301570888
56;7;200;7;200;28;200;8898879;4161281;1122646;0,125;0,125;0,5;0,467618562;0,12615589
51;3;300;3;400;3;200;8027225;481106;493057;0,058823529;0,058823529;0,058823529;0,059934286;0,061423095
25;3;400;3;400;3;200;3339478;478831;492276;0,12;0,12;0,12;0,143384984;0,147411062
38;3;800;3;200;3;100;5813301;482079;538176;0,078947368;0,078947368;0,078947368;0,082926895;0,092576662
84;79;200;79;600;79;300;12252165;10634253;11024090;0,94047619;0,94047619;0,94047619;0,867948889;0,899766694
46;6;200;6;200;6;300;5942330;649940;654019;0,130434783;0,130434783;0,130434783;0,109374606;0,110061037
16;12;200;12;200;12;100;1906720;739768;767383;0,75;0,75;0,75;0,387979357;0,402462344
23;8;200;8;200;8;200;3819540;1175865;1207844;0,347826087;0,347826087;0,347826087;0,307855134;0,316227609
8;4;600;4;300;4;100;1406251;494943;501348;0,5;0,5;0,5;0,351959216;0,35651388
62;20;100;20;300;20;400;3929163;1864667;1763039;0,322580645;0,322580645;0,322580645;0,474571047;0,448705997
25;9;100;9;200;9;400;3295550;767075;802191;0,36;0,36;0,36;0,232760844;0,243416425
41;31;200;31;200;32;200;8547258;5345632;5239434;0,756097561;0,756097561;0,780487805;0,62542069;0,612995887
12;3;200;3;300;3;400;2279448;502842;499693;0,25;0,25;0,25;0,220598145;0,21921667
18;6;100;6;200;6;300;3292499;640243;657698;0,333333333;0,333333333;0,333333333;0,194455032;0,199756477
57;3;200;3;200;14;200;10429788;1031632;496077;0,052631579;0,052631579;0,245614035;0,098912078;0,047563479
14;4;200;4;500;4;300;2088076;501010;510750;0,285714286;0,285714286;0,285714286;0,239938585;0,244603166
18;4;100;4;300;4;200;2330016;480629;501126;0,222222222;0,222222222;0,222222222;0,206277124;0,21507406
14;3;300;3;1100;3;300;1956258;502927;492146;0,214285714;0,214285714;0,214285714;0,257086233;0,251575201
11;3;900;3;100;3;300;1379467;506743;500508;0,272727273;0,272727273;0,272727273;0,367346954;0,362827092
85;81;200;81;100;81;200;14951592;13499010;14021976;0,952941176;0,952941176;0,952941176;0,90284767;0,937824949
45;3;800;3;100;3;100;5302351;469601;486513;0,066666667;0,066666667;0,066666667;0,088564676;0,091754205
36;3;300;3;200;3;100;2311947;493031;488320;0,083333333;0,083333333;0,083333333;0,213253591;0,211215915
37;3;100;3;200;3;300;2346291;485088;473768;0,081081081;0,081081081;0,081081081;0,206746733;0,201922097
42;20;500;20;200;22;200;5734854;3531311;3323039;0,476190476;0,476190476;0,523809524;0,615763017;0,579446138
13;3;100;3;600;3;400;2172192;464666;485255;0,230769231;0,230769231;0,230769231;0,213915713;0,223394157
28;3;200;3;200;3;200;2408920;488733;484227;0,107142857;0,107142857;0,107142857;0,202884695;0,201014147
108;88;400;88;200;88;100;14239263;10558559;10588798;0,814814815;0,814814815;0,814814815;0,741510217;0,743633852
40;4;300;4;300;7;300;5179247;826615;489782;0,1;0,1;0,175;0,159601386;0,094566256
