expression; size; sliced on; sign slice; sign size 
(let* ((e -7)) (+ e -20));6;23;(let* ((e -7)) '());3
(letrec* ((fqbno (/ (- (- 14 -22) -13) 1)) (vmyrk 10) (area 11) (dov -13)) (- -11 fqbno));18;18;(letrec* ((area 11)) '());3
(let* ((oomdh (+ (begin 13 -20) (let () -29))) (nsifo (if (= 23 -2) (* 9 -3) (+ 6 -16))) (l (if #f -7 -30)) (jt 6)) -28);27;5;(let* ((oomdh (+ (begin -20) (let () -29))) (nsifo (if (= 23 -2) (* 9 -3) (+ 6 -16)))) '());21
(let* ((aaen -10) (twkjm (+ 8 2)) (euqig (if #t -10 14)) (gqiz 4)) (letrec* ((rwkoev -1) (thh 7)) (begin euqig 25)));17;-26;(let* () (letrec* ((rwkoev -1)) '()));4
(let ((x (/ (/ 24 10) (* 19 28))) (yea (/ -22 -6)) (rzqzrd -9)) yea);17;17;(let ((rzqzrd -9)) '());3
(let ((ne 4) (evuwut (if #t 20 6)) (jpttas (/ 9 -8)) (rtka 3)) -14);12;-19;(let ((evuwut (if #t 20 6))) '());6
(let* ((qoets (if #f (begin -8 -19) 25)) (ef (if #t -18 6)) (cztik (if #t 21 20)) (v -28)) (if #f (- (if #f qoets (+ (+ (* -13 29) 20) -5)) (if (= 28 7) (- 17 (* v -4)) (- 22 16))) (/ (+ v 15) cztik)));56;17;(let* ((ef (if #t -18 6))) '());6
(let* ((gbpuev -10) (skg 27) (cwt -28)) (if #f (+ (+ -29 (* skg gbpuev)) cwt) (begin (set! gbpuev (/ -3 (/ skg (/ gbpuev -24)))) -19)));29;-13;(let* ((gbpuev -10) (skg 27) (cwt -28)) (if #f '() (begin (set! gbpuev (/ -3 (/ skg (/ gbpuev -24)))))));19
(let ((qa (* 17 (if #t -22 21))) (ewyyrt -14) (tey 17)) (/ 16 (+ qa -9)));17;-19;(let ((tey 17)) '());3
(let ((cocas (/ (if #t (* 3 18) 25) (begin -29 -6))) (yn -28) (vm 26) (lquvrj 16)) (- (* -25 -16) (if (< (* 1 cocas) 28) (let () (+ cocas (+ -3 25))) 18)));39;-8;(let ((cocas (/ (if #t (* 3 18) 25) (begin -6)))) (- (* -25 -16) (if (< (* 1 cocas) 28) (let () (+ cocas (+ -3 25))) 18)));35
(let ((qah -21) (xpbuf -16) (idspm 26)) 11);5;22;(let ((xpbuf -16)) '());3
(let ((f (- -20 -9)) (xlvegm (if #f 21 -14)) (y -6)) (- 8 -18));14;-7;(let ((y -6)) '());3
(let* ((wqoob (if #t (/ -4 (if #t -26 -24)) 25)) (gpdqf (- -27 (if #t 26 4))) (tsrkkw (- -30 2)) (n 26)) (+ 25 (if (= 13 (- tsrkkw 8)) wqoob (- (if #t -14 gpdqf) (* (+ -5 (- -10 gpdqf)) 15)))));51;15;(let* ((tsrkkw (- -30 2)) (n 26)) '());7
(let ((ed (+ -11 -9)) (nvtw 1) (cuo 17)) (let* ((cbsmo 5) (gm ed)) (begin -30 cuo)));13;-12;(let () (let* ((cbsmo 5)) '()));4
